kmage;miles;priceRUB;priceUSD;vol;power;fuel
19100;11842;1820000;24761,9;1,4;150;Бензин
0;0;1808900;24610,9;1,4;150;Бензин
39337;24389;2259400;30740,1;1,4;150;Бензин
56000;34720;1780000;24217,7;1,4;150;Бензин
0;0;2474800;33670,8;2,0;180;Бензин
94000;58280;780000;10612,2;2,0;170;Бензин
145892;90453;744000;10122,5;1,4;122;Бензин
150844;93523;649000;8829,9;1,4;122;Бензин
0;0;2164800;29453,1;1,4;150;Бензин
0;0;1793900;24406,8;1,4;125;Бензин
1003;622;1895000;25782,3;1,4;150;Бензин
0;0;2270800;30895,2;1,4;150;Бензин
0;0;1909000;25972,8;1,4;150;Бензин
25865;16036;1955000;26598,6;2,0;180;Бензин
67275;41710;1065000;14489,8;1,4;150;Бензин
113347;70275;2069000;28149,7;2,0;220;Бензин
0;0;2018900;27468,0;1,4;150;Бензин
0;0;1948900;26515,7;1,4;150;Бензин
0;0;1922900;26161,9;1,4;150;Бензин
64500;39990;2049000;27877,5;2,0;180;Бензин
250000;155000;665000;9047,6;2,0;170;Бензин
73000;45260;1050000;14285,7;2,0;170;Бензин
110000;68200;860000;11700,7;2,0;170;Бензин
158000;97960;995000;13537,4;2,0;170;Бензин
0;0;1841900;25059,9;1,4;150;Бензин
0;0;2459700;33465,3;2,0;180;Бензин
0;0;1628900;22161,9;1,4;125;Бензин
0;0;2472400;33638,1;2,0;180;Бензин
0;0;1841900;25059,9;1,4;150;Бензин
0;0;1822900;24801,4;1,4;150;Бензин
88400;54808;1265000;17210,9;1,4;150;Бензин
0;0;1818100;24736,0;1,4;150;Бензин
0;0;3051200;41512,9;2,0;220;Бензин
0;0;1841900;25059,9;1,4;150;Бензин
0;0;1848100;25144,2;1,4;150;Бензин
0;0;1841900;25059,9;1,4;150;Бензин
0;0;1873300;25487,1;1,4;150;Бензин
0;0;1696900;23087,1;1,4;125;Бензин
0;0;2045900;27835,4;1,4;150;Бензин
0;0;1861100;25321,1;1,4;150;Бензин
0;0;2956300;40221,8;2,0;180;Бензин
0;0;2046400;27842,2;1,4;150;Бензин
0;0;1861100;25321,1;1,4;150;Бензин
0;0;3086300;41990,5;2,0;220;Бензин
160000;99200;850000;11564,6;2,0;170;Бензин
54000;33480;1990000;27074,8;2,0;180;Бензин
0;0;3015100;41021,8;2,0;180;Бензин
